"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
,"-0.9898","-0.6938","0.0684","SIGNALING BY 
BMP%REACTOME 
DATABASE ID 
RELEASE 
75%201451 ","1.0","BMPR2|SMAD7|SKI|SMAD1|UBE2D3|FSTL1|ACVR2B|UBE2D1|ACVR2A|SMAD5|SMAD4|SMURF2|NOG|SMURF1|BMPR1A|GREM2|ZFYVE16","Signaling by BMP","17","ENR","SIGNALING BY BMP%REACTOME DATABASE ID RELEASE 75%201451","-1.4624","0.0102","SIGNALING BY BMP%REACTOME DATABASE ID RELEASE 75%201451",,,"false","SIGNALING BY BMP%REACTOME DATABASE ID RELEASE 75%201451"
,"-0.9918","-0.7092","0.0634","CELL MIGRATION 
AND INVASION 
THROUGH 
P75NTR%WIKIPATHWAYS_20210210%WP4561%HOMO 
SAPIENS ","1.0","EFNA5|TRIO|TIAM1|EFNA4|KIDINS220|ADAMTS13|EFNB1|ARF1|BDNF|AKT3|PARD3|STAT3|JUN|PAK1|MMP9|RAC1","Cell migration and invasion through p75NTR","16","ENR","CELL MIGRATION AND INVASION THROUGH P75NTR%WIKIPATHWAYS_20210210%WP4561%HOMO SAPIENS","-1.4789","0.0082","CELL MIGRATION AND INVASION THROUGH P75NTR%WIKIPATHWAYS_20210210%WP4561%HOMO SAPIENS",,,"false","CELL MIGRATION AND INVASION THROUGH P75NTR%WIKIPATHWAYS_20210210%WP4561%HOMO SAPIENS"
"55","-1.0","-0.6093","0.0862","ENDODERM 
DIFFERENTIATION%WIKIPATHWAYS_20210210%WP2853%HOMO 
SAPIENS ","1.0","SFMBT1|LRPPRC|BCORL1|CTBP2|TRIM5|APC|SMAD4|CRTC1|JARID2|LAMC1|DUSP5|DUSP2|TET1|SESN1|PARP8|AHDC1|BTAF1|CAND1|TBX21|LEO1|ELP4|MAD2L2|CEBPZ|TAF5|CUL4B|EXT1|AEBP2|SLC2A12|CEP250|ACACA|WDHD1|CDYL|PBX1|RFX7|RAB38|WDFY2|TOX|CTR9|RTF1|MBTD1|EPB41L5|BPTF|ATP8B2|SIAH2|PBX3|TRERF1|UBR5|SP4|TAF4B|TCF7L1|PAF1|FOXO1|ELAVL1|NLK|APP|PHF6|CDC73|HHEX|NOTCH1|C1QBP|TCF4|STAT1|NR3C1|CTNNB1|TNRC6C|VAV3|KDM4A|TGFB1|PIAS1|RGS10|SMAD2|PABPC1|NOG|MAP2K3|BMPR1A|EZH2","Endoderm Differentiation","76","ENR","ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20210210%WP2853%HOMO SAPIENS","-1.4279","0.0","ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20210210%WP2853%HOMO SAPIENS",,,"false","ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20210210%WP2853%HOMO SAPIENS"
"55","-1.0","-0.6112","0.0899","MESODERMAL 
COMMITMENT 
PATHWAY%WIKIPATHWAYS_20210210%WP2857%HOMO 
SAPIENS ","1.0","AXIN1|ACVR1|AXIN2|PRKAR1A|BCORL1|RPL38|HMGA2|CTBP2|TRIM5|FGFR1|SMAD4|PPP2CA|CRTC1|KLF5|JARID2|KLF4|TET1|SESN1|PARP8|AHDC1|ELP4|HTT|TWSG1|CSRP2|ARL4A|CUL4B|EXT1|EXT2|C9ORF72|AEBP2|KIAA0754|SLC2A12|CCDC6|CEP250|ACACA|WDHD1|PBX1|WDFY2|TOX|MEIS1|MBTD1|EPB41L5|ATP8B2|TRIM28|PBX3|TRERF1|UBR5|TCF7L1|NLK|PHF6|C1QBP|RARB|TCF4|ACVR2B|ACVR2A|ADAM19|VAV3|SETD2|LATS1|PIAS1|BMPR2|GATA3|NFE2L2|RGS10|SMAD2|SMAD1|ARID5B|NOG|BMPR1A","Mesodermal Commitment Pathway","69","ENR","MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20210210%WP2857%HOMO SAPIENS","-1.4214","0.0","MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20210210%WP2857%HOMO SAPIENS",,,"false","MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20210210%WP2857%HOMO SAPIENS"
"18","-1.0","-0.745","0.0039","REGULATION OF 
MECP2 EXPRESSION 
AND 
ACTIVITY%REACTOME%R-HSA-9022692.1 ","0.2","NCOR1|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|LBR|CAMK2D|HDAC2|TBL1XR1|HDAC1|HIPK2|NCOR2|CREB1|CALM1|CAMK2G|PRKACA|HTT|CAMK4|HDAC3|TBL1X|SIN3A|GPS2|MOV10","Regulation of MECP2 expression and activity","26","ENR","REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1","-1.6545","0.0","REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1",,,"false","REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1"
"18","-0.999","-0.6704","0.0599","LXRS REGULATE 
GENE EXPRESSION 
LINKED TO 
CHOLESTEROL 
TRANSPORT AND 
EFFLUX%REACTOME 
DATABASE ID 
RELEASE 
75%9029569 ","1.0","KDM3A|NCOR1|RXRB|EP300|ARL4C|EEPD1|ABCG1|CETP|NR1H2|ABCA1|NR1H3|KDM1B|TNRC6C|AGO3|AGO4|AGO1|AGO2|KDM4A|TNRC6A|TNRC6B|TBL1XR1|KDM1A|NCOR2|NCOA1|RXRA|HDAC3|TBL1X|GPS2|MOV10","LXRs regulate gene expression linked to cholesterol transport and efflux","29","ENR","LXRS REGULATE GENE EXPRESSION LINKED TO CHOLESTEROL TRANSPORT AND EFFLUX%REACTOME DATABASE ID RELEASE 75%9029569","-1.4887","0.001","LXRS REGULATE GENE EXPRESSION LINKED TO CHOLESTEROL TRANSPORT AND EFFLUX%REACTOME DATABASE ID RELEASE 75%9029569",,,"false","LXRS REGULATE GENE EXPRESSION LINKED TO CHOLESTEROL TRANSPORT AND EFFLUX%REACTOME DATABASE ID RELEASE 75%9029569"
"18","-1.0","-0.6813","0.034","TRANSCRIPTIONAL 
REGULATION BY 
MECP2%REACTOME%R-HSA-8986944.2 ","0.956","MEF2C|SGK1|PTEN|NCOR1|IRAK1|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|LBR|PTPN1|CAMK2D|PTPN4|HDAC2|TBL1XR1|FKBP5|RBFOX1|HDAC1|SLC2A3|HIPK2|OPRM1|NCOR2|CREB1|BDNF|CALM1|DGCR8|CAMK2G|PRKACA|HTT|CAMK4|HDAC3|TBL1X|SIN3A|GPS2|MOV10","Transcriptional Regulation by MECP2","38","ENR","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2","-1.5439","0.0","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2",,,"false","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2"
,"-0.9776","-0.6676","0.0975","INTERACTIONS 
BETWEEN IMMUNE 
CELLS AND 
MICRORNAS IN 
TUMOR 
MICROENVIRONMENT%WIKIPATHWAYS_20210210%WP4559%HOMO 
SAPIENS ","1.0","CTLA4|TGFB1|IL2RA|TLR4|STAT6|IL2RB|CCL5|TLR8|TRAF6|TLR7|IRAK4|PDCD1|STAT3|TGFBR2|NFKB2|IL2RG|CD80|NFKB1","Interactions between immune cells and microRNAs in tumor microenvironment","18","ENR","INTERACTIONS BETWEEN IMMUNE CELLS AND MICRORNAS IN TUMOR MICROENVIRONMENT%WIKIPATHWAYS_20210210%WP4559%HOMO SAPIENS","-1.4093","0.0224","INTERACTIONS BETWEEN IMMUNE CELLS AND MICRORNAS IN TUMOR MICROENVIRONMENT%WIKIPATHWAYS_20210210%WP4559%HOMO SAPIENS",,,"false","INTERACTIONS BETWEEN IMMUNE CELLS AND MICRORNAS IN TUMOR MICROENVIRONMENT%WIKIPATHWAYS_20210210%WP4559%HOMO SAPIENS"
"32","-0.9939","-0.6523","0.0884","RNA 
DESTABILIZATION%GOBP%GO:0050779 ","1.0","DXO|ROCK1|METTL3|CELF1|ZFP36|PUM1|UPF1|ZC3H12A|YTHDF1|YTHDF2|YTHDF3|DND1|ZFP36L2|ZFP36L1|TARDBP|DHX36|FTO|METTL16|GIGYF2|CPEB3|KHSRP|METTL14|ZC3H12D|RC3H1|MOV10|ROCK2","RNA destabilization","26","ENR","RNA DESTABILIZATION%GOBP%GO:0050779","-1.4241","0.0061","RNA DESTABILIZATION%GOBP%GO:0050779",,,"false","RNA DESTABILIZATION%GOBP%GO:0050779"
"32","-1.0","-0.6574","0.0586","POSITIVE 
REGULATION OF 
MRNA CATABOLIC 
PROCESS%GOBP%GO:0061014 ","1.0","EIF4ENIF1|CNOT1|ROCK1|METTL3|CNOT8|CELF1|ZFP36|PUM1|UPF1|TNRC6C|ZC3H12A|POLR2G|YTHDF1|YTHDF2|AGO2|TNRC6A|YTHDF3|TNRC6B|DND1|ZFP36L2|ZFP36L1|PRR5L|ZC3HAV1|TARDBP|DHX36|NANOS1|FTO|TOB1|METTL16|BTG2|GIGYF2|GTPBP1|CPEB3|KHSRP|METTL14|PNPT1|ZC3H12D|RC3H1|PABPC1|MOV10|ROCK2|CNOT7","positive regulation of mRNA catabolic process","42","ENR","POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014","-1.4906","0.0","POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014",,,"false","POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014"
"32","-0.994","-0.6528","0.088","MRNA 
DESTABILIZATION%GOBP%GO:0061157 ","1.0","ROCK1|METTL3|CELF1|ZFP36|PUM1|UPF1|ZC3H12A|YTHDF1|YTHDF2|YTHDF3|DND1|ZFP36L2|ZFP36L1|TARDBP|DHX36|FTO|METTL16|GIGYF2|CPEB3|KHSRP|METTL14|ZC3H12D|RC3H1|MOV10|ROCK2","mRNA destabilization","25","ENR","MRNA DESTABILIZATION%GOBP%GO:0061157","-1.425","0.006","MRNA DESTABILIZATION%GOBP%GO:0061157",,,"false","MRNA DESTABILIZATION%GOBP%GO:0061157"
"48","-0.9827","-0.6752","0.0857","PID_TCR_CALCIUM_
PATHWAY%MSIGDB_
C2%PID_TCR_
CALCIUM_PATHWAY","1.0","IL2RA|FKBP1A|PPP3CA|PPP3R1|AKAP5|CABIN1|RCAN1|NFATC3|NFATC1|FOS|NFATC2|CD40LG|JUNB|PTGS2|JUN|CHP1|POU2F1","PID_TCR_CALCIUM_PATHWAY","17","ENR","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY","-1.4292","0.0173","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY",,,"false","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY"
"48","-1.0","-0.654","0.0622","PID_NFAT_
3PATHWAY%MSIGDB_
C2%PID_NFAT_
3PATHWAY","1.0","MAPK8|MEF2D|CSNK2A1|KPNA2|MAP3K8|CREBBP|YWHAQ|FKBP1A|BCL2L1|YWHAG|PPP3CA|PPP3R1|AKAP5|CABIN1|RAN|PRKCB|PRKCA|BCL2|MAPK9|NFATC3|EP300|NFATC1|NUP214|PRKCE|NFATC2|BAD|CHP1|PIM1|MAPK3|CSNK1A1|GSK3B|YWHAZ|PRKCQ|RCAN1|CAMK4|PRKCH|CASP3|MAPK14|PRKCZ|MAP3K1","PID_NFAT_3PATHWAY","40","ENR","PID_NFAT_3PATHWAY%MSIGDB_C2%PID_NFAT_3PATHWAY","-1.4834","0.0","PID_NFAT_3PATHWAY%MSIGDB_C2%PID_NFAT_3PATHWAY",,,"false","PID_NFAT_3PATHWAY%MSIGDB_C2%PID_NFAT_3PATHWAY"
,"-1.0","-0.6089","0.0959","ANDROGENRECEPTO
R%IOB%ANDROGENR
ECEPTOR
","1.0","CEBPA|TGIF1|SRC|CCND3|BRCA1|PTEN|RAN|STAT3|PIK3R1|SMAD4|FLNA|PARP1|GSK3B|SVIL|HDAC1|RUNX2|NCOR2|FHL2|CDK7|SIN3A|UBE2I|NCOA6|PIAS2|KAT7|LPXN|IL6ST|PXN|FOXO1|NELFCD|EP300|TCF4|KAT2B|CDK9|CCNH|ZMIZ1|NR3C1|AHR|UXT|ZMIZ2|BAG1|JUN|RANBP9|CTNNB1|RUNX1|XRCC5|NONO|PA2G4|RBAK|CDC37|POU2F1|EFCAB6|MDM2|TRIM68|APPL1|PELP1|SLC25A4|TMF1|RNF4|NR2C2|RCHY1|PIAS1|PSMC3IP|PLAGL1|STUB1|PNRC1|GTF2F1|GTF2F2|NCOA1|PRMT1|CASP3|PRKD1|SP1|RB1|RELA","AndrogenReceptor","74","ENR","ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR","-1.4139","0.0","ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR",,,"false","ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR"
,"-0.997","-0.7131","0.0665","RECEPTOR 
LOCALIZATION TO 
SYNAPSE%GOBP%GO:0097120 ","1.0","DLG1|DLG2|LRRC7|RAB8A|KIF5C|STX3|KIF5B|GRIPAP1|DLG4|GPHN|SYNJ2BP|SCRIB|RAB11A|GRIP1|DLG3","receptor localization to synapse","15","ENR","RECEPTOR LOCALIZATION TO SYNAPSE%GOBP%GO:0097120","-1.4671","0.003","RECEPTOR LOCALIZATION TO SYNAPSE%GOBP%GO:0097120",,,"false","RECEPTOR LOCALIZATION TO SYNAPSE%GOBP%GO:0097120"
,"-0.9979","-0.7573","0.0195","NEGATIVE 
REGULATION OF 
PROTEIN 
LOCALIZATION TO 
NUCLEUS%GOBP%GO:1900181 ","0.772","GSK3B|LATS2|SIN3A|FLCN|RAB23|OTUD7B|MFHAS1|LILRB4|UFM1|MDFIC|CHP1|SUFU|CTNNA1|POLR1A|LATS1","negative regulation of protein localization to nucleus","15","ENR","NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181","-1.5789","0.0021","NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181",,,"false","NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181"
,"-0.999","-0.7874","0.0041","REGULATION OF 
ESTABLISHMENT OR 
MAINTENANCE OF 
CELL 
POLARITY%GOBP%GO:0032878 ","0.211","KANK1|ARFGEF1|TEK|ROCK1|GSN|RAP1B|RUFY3|FLOT2|LLGL1|LLGL2|PTK2B|KRIT1|DOCK8|BCAS3|ROCK2|KIF20B","regulation of establishment or maintenance of cell polarity","16","ENR","REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878","-1.6507","0.001","REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878",,,"false","REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878"
"60","-0.999","-0.6392","0.0722","
PEPTIDYL-TYROSINE 
PHOSPHORYLATION%GOBP%GO:0018108 ","1.0","FES|SRC|DYRK1A|ERBB2|PRLR|ITK|FGFR1|ABL2|FGR|ABI2|INSR|PIBF1|HCK|DDR2|PTK2B|FLT3|FYN|ZAP70|JAK3|AATK|MAPK3|FGFR2|ABL1|IGF1R|ABI1|TXK|PDGFB|CSF1R|EPHA4|IL15|BMX|TEK|EPHB2|FLT1|ABI3|FLT4|SYK|BLK|EPHA1|LYN|BTK|PTPN6|PTK2|KIT|TEC|FER|JAK2|LCK|PDGFRB","peptidyl-tyrosine phosphorylation","49","ENR","PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108","-1.4551","0.001","PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108",,,"false","PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108"
"60","-1.0","-0.6452","0.0634","
PEPTIDYL-TYROSINE 
MODIFICATION%GOBP%GO:0018212 ","1.0","FES|SRC|DYRK1A|ERBB2|PRLR|ITK|FGFR1|ABL2|FGR|ABI2|INSR|PIBF1|HCK|DDR2|PTK2B|FLT3|FYN|ZAP70|JAK3|AATK|MAPK3|FGFR2|TPST2|TPST1|ABL1|IGF1R|TTL|ABI1|TXK|PDGFB|CSF1R|EPHA4|IL15|BMX|TEK|EPHB2|FLT1|ABI3|FLT4|SYK|BLK|EPHA1|LYN|BTK|PTPN6|PTK2|KIT|TEC|FER|JAK2|LCK|PDGFRB","peptidyl-tyrosine modification","52","ENR","PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212","-1.481","0.0","PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212",,,"false","PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212"
