"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","DEFENSE RESPONSE 
TO GRAM-NEGATIVE 
BACTERIUM%GOBP%GO:0050829 ",,"OPTN|IL6R|MR1|TLR9|TLR4|RPS19|SLC11A1|PYCARD|IL23R|MPEG1|DEFB106B|DEFB107B|TNFRSF14|ROMO1|DEFB104B|BPI|RNASE6|RNASE2|DEFA4|CHGA|DEFA3|DEFB103B|GSDMD|RPL30|DEFA1B|CAMP|LYZ|HMGB2|LTF|DROSHA|SELP","defense response to Gram-negative bacterium","31","ENR","DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829","1.0","0.01","DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829","false","DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829"
"0.99",,"1.0","MULTICELLULAR 
ORGANISMAL 
SIGNALING%GOBP%GO:0035637 ",,"KCNH2|CACNA1D|KCNQ1|KCNE1|YWHAE|KCNE3|KCNMB3|CACNB1|KCNA2|CACNB2|KCNK6|CACNA2D2|AKAP9|CNTNAP2|SCN8A|KCNMB4|CNTNAP1|SLC9A1|FKBP1B|CACNA1I|SLC8A1|CAMK2D|ABCC9|TNNI3K|ATP1B1|ATP1A1|JUP|PAFAH1B1|PRKACA|SOD1|CACNA1C|RYR2|PKP2|BIN1|CTNNA3|ANK2|DSC2|KCNJ2|KCNIP1|DSP|KCNIP2|ANK3|KCNIP4|SCN3A|SCN9A|MEF2A","multicellular organismal signaling","46","ENR","MULTICELLULAR ORGANISMAL SIGNALING%GOBP%GO:0035637","1.0","0.01","MULTICELLULAR ORGANISMAL SIGNALING%GOBP%GO:0035637","false","MULTICELLULAR ORGANISMAL SIGNALING%GOBP%GO:0035637"
"0.99",,"1.0","REGULATION OF 
MICROTUBULE 
CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO 
SAPIENS ",,"TRIO|SPRED1|ROCK1|SRC|EPHB2|LIMK1|TIAM1|PTPRA|DVL1|MAPRE1|GNAQ|PHLDB2|F2RL2|PTEN|PRKCA|CDC42|PIK3CA|APC|STAT3|PAK1|MAPKAPK2|TAOK1|CLASP1|GSK3B|CAMK4|CFL2|RAC1","Regulation of Microtubule Cytoskeleton","27","ENR","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS","1.0","0.01","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS","false","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS"
"0.99",,"1.0","STEM CELL 
DIFFERENTIATION%GOBP%GO:0048863 ",,"MEF2C|FAM172A|PHACTR4|HMGA2|SEMA3A|PDCD6|GPM6A|METTL5|PUM1|ZNF281|NOLC1|KBTBD8|UFL1|PEF1|FGFR2|JARID2|SEMA6A|SEMA7A|SEMA3C|SEMA4A|SEMA4B|SEMA4F|SEMA4G|CORO1C|FZD1|TCOF1|PSMD11|TAPT1|CDH2|FN1|PTPRC|FOXO4|SOX10|RBPJ|SETD6|NOTCH1|NELFB|HTR2B|JAG1|KLHL12|FBXL17|NRP1|TP53|MTF2|SETD2|ANXA6|SEMA4D|SEMA5A|WNT7A|LRP6|LMBR1L|KIT|BATF|MLLT3|NRG1|SEMA4C|SRF|REST","stem cell differentiation","58","ENR","STEM CELL DIFFERENTIATION%GOBP%GO:0048863","1.0","0.01","STEM CELL DIFFERENTIATION%GOBP%GO:0048863","false","STEM CELL DIFFERENTIATION%GOBP%GO:0048863"
"0.99",,"1.0","HISTONE 
MODIFICATIONS%WIKIPATHWAYS_20210210%WP2369%HOMO 
SAPIENS ",,"PRDM2|SETDB1|EED|SETDB2|EZH1|SUV39H2|SETD3|SETMAR|SETD6|SETD7|ASH1L|SMYD2|SMYD3|SETD2|SET|SETD9|SMYD5|SMYD4|H3F3B|SETD5|SETBP1|KMT2E|HIST1H4J|KMT2C|SETD4|KMT2A|AEBP2|SETD1B|SETD8|EHMT1|SETD1A|SUV39H1|DOT1L|EZH2","Histone Modifications","34","ENR","HISTONE MODIFICATIONS%WIKIPATHWAYS_20210210%WP2369%HOMO SAPIENS","1.0","0.01","HISTONE MODIFICATIONS%WIKIPATHWAYS_20210210%WP2369%HOMO SAPIENS","false","HISTONE MODIFICATIONS%WIKIPATHWAYS_20210210%WP2369%HOMO SAPIENS"
"0.99",,"1.0","HEART 
LOOPING%GOBP%GO:0001947 ",,"SETDB2|MEF2C|ENG|NPHP3|TBX21|NOTCH1|STIL|BBS4|AHI1|EOMES|PKD2|MKKS|CCDC39|SRF|TGFBR2|MICAL2|BBS7|BBS5","heart looping","18","ENR","HEART LOOPING%GOBP%GO:0001947","1.0","0.01","HEART LOOPING%GOBP%GO:0001947","false","HEART LOOPING%GOBP%GO:0001947"
"0.99",,"1.0","REGULATION OF RAS 
FAMILY 
ACTIVATION%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%REGULATION 
OF RAS FAMILY 
ACTIVATION ",,"GRB2|SOS1|HRAS|LGALS3|SYNGAP1|RRAS|SOS2|PRKCB|PRKCA|RASA4|PRKCE|LGALS1|RIN1|RASA1|RASA2|RASGRP2|PLCE1|RASGRP1|CALM3|KRAS|RASGRF2|RASGRP3|NF1|RABGEF1|RASGRP4|PRKCZ|NRAS","Regulation of Ras family activation","27","ENR","REGULATION OF RAS FAMILY ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RAS FAMILY ACTIVATION","1.0","0.01","REGULATION OF RAS FAMILY ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RAS FAMILY ACTIVATION","false","REGULATION OF RAS FAMILY ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RAS FAMILY ACTIVATION"
"0.99",,"1.0","TP53 REGULATES 
METABOLIC 
GENES%REACTOME 
DATABASE ID 
RELEASE 
75%5628897 ",,"SESN3|COX11|COX14|SURF1|YWHAE|NDUFA4|YWHAQ|COX6C|RRM2B|LRPPRC|GLS|YWHAG|YWHAB|PTEN|CYCS|LAMTOR5|COX20|RHEB|GPI|MLST8|PRDX2|RRAGA|DDIT4|TSC1|PRDX1|AKT1|YWHAZ|G6PD|TXNRD1|MTOR|SLC38A9|LAMTOR2|RRAGB|RRAGD|LAMTOR1|RRAGC|GLS2|MOV10|TXN|SESN2|LAMTOR4|AKT2|TP63|AKT3|RPTOR|PRKAB1|PRKAG1|PRKAG2|PRKAB2|PRKAA1|TP53|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|LAMTOR3|YWHAH|COX7B|TACO1|COX4I1|COX6A1|COX7C|COX8A|COX6B1|TSC2|COX7A2L|GPX2|SCO1|SCO2|COX19|COX16|COX18|COX5B|COX5A","TP53 Regulates Metabolic Genes","77","ENR","TP53 REGULATES METABOLIC GENES%REACTOME DATABASE ID RELEASE 75%5628897","1.0","0.01","TP53 REGULATES METABOLIC GENES%REACTOME DATABASE ID RELEASE 75%5628897","false","TP53 REGULATES METABOLIC GENES%REACTOME DATABASE ID RELEASE 75%5628897"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
TRANSLATION%GOBP%GO:0045727 ",,"FASTKD3|METTL3|DAZ4|EIF3E|DAZ3|DAZ2|EIF3C|DAZ1|EIF3D|BOLL|HABP4|BCL3|ERBB2|METTL5|EIF2B5|RPS9|NSUN5|VIM|JMJD4|SAMD4A|POLR2G|YTHDF1|UHMK1|YTHDF2|POLDIP3|YTHDF3|LARP1|DNAJC3|NPM1|RPS6KB1|EIF2AK4|RPS6KB2|DDX3X|IMPACT|EIF2S3|CD28|DHX36|PLXNB2|POLR2D|TRMT10C|CPEB3|MRPS27|METTL14|MTOR|THBS1|FXR2|KHDRBS1|EIF5A2|NAT10|FXR1|CNBP|COA3|EIF6|FMR1|PRR16|LARP4|FASTKD2|RMND1|NGRN|RPUSD4|RPUSD3|CDC123|ELAVL1|TRUB2|EIF5A|RPL26|C1QBP|HNRNPD|PPP1R15A|CCL5|PLD1|PKM|RPS27L|PCIF1|LARP4B|EEF2|AGO2|DHX9|NCK1|EIF4A3|SOX4|USP16|PASK|UPF3B|RPL5|ZCCHC4|UPF3A|EIF4G1|UQCC2|CIRBP|PRKDC|YBX3|RBM3|RPS4X","positive regulation of translation","94","ENR","POSITIVE REGULATION OF TRANSLATION%GOBP%GO:0045727","1.0","0.01","POSITIVE REGULATION OF TRANSLATION%GOBP%GO:0045727","false","POSITIVE REGULATION OF TRANSLATION%GOBP%GO:0045727"
"0.99",,"1.0","LEARNING OR 
MEMORY%GOBP%GO:0007611 ",,"CUX2|ADCY3|MEF2C|PTEN|LGMN|ATXN1|SYNJ1|ATAD1|INSR|MAPK1|MAPT|FYN|FGF13|YTHDF1|LDLR|EIF2AK4|PJA2|BDNF|PAFAH1B1|S100B|HTT|CAMK4|CPEB3|DLG4|NETO1|MME|TLR2|LILRB2|NLGN3|RGS14|PRNP|EPHB2|KAT2A|CLN3|B2M|SGK1|APP|PLCB1|SYT11|PPP3CB|CNTNAP2|NRXN1|NRXN3|PICALM|MAP1A|ABCA7|PSEN1|AGER|MUSK|NLGN4Y|CHRNB2|ATXN1L|CIC|EIF4EBP2|NF1|CALB1|BHLHB9","learning or memory","57","ENR","LEARNING OR MEMORY%GOBP%GO:0007611","1.0","0.01","LEARNING OR MEMORY%GOBP%GO:0007611","false","LEARNING OR MEMORY%GOBP%GO:0007611"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
LEUKOCYTE 
MEDIATED 
CYTOTOXICITY%GOBP%GO:0001912 ",,"KLRD1|CD160|MR1|AP1G1|STX7|STAP1|IL12RB1|CRTAM|IL23R|F2RL1|FADD|RASGRP1|SPI1|CD226|ITGAM|SLAMF6|PVR|TYROBP|CADM1|CD1D|CD1C|ARG1|KLRK1|NCR3|LAMP1|KLRC2","positive regulation of leukocyte mediated cytotoxicity","26","ENR","POSITIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001912","1.0","0.01","POSITIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001912","false","POSITIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001912"
"0.99",,"1.0","5HT4 TYPE 
RECEPTOR 
MEDIATED 
SIGNALING 
PATHWAY%PANTHER 
PATHWAY%P04376 ",,"GNG5|GNG7|GNAL|SLC18A2|GNG2|GNB1|GNB5|STX3|VAMP2|SNAP23|ADCY7|VAMP1|GNG10|SNAP29|VAMP3|GNB2|VAMP8|GNB4","5HT4 type receptor mediated signaling pathway","18","ENR","5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376","1.0","0.01","5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376","false","5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376"
"0.99",,"1.0","SUMOYLATION OF 
TRANSCRIPTION 
COFACTORS%REACTOME 
DATABASE ID 
RELEASE 
75%3899300 ",,"SUMO1|PIAS3|TRIM28|PCGF2|DDX5|CREBBP|PIAS4|ING2|EP300|TOPORS|SAFB|DAXX|NPM1|PHC2|PIAS1|PHC1|DDX17|RING1|HIPK2|SUMO3|CBX4|NCOR2|SUMO2|NCOA1|PHC3|NCOA2|RNF2|SIN3A|NRIP1|MBD1|UBE2I|ZNF131|ZNF350|UHRF2|BMI1|CTBP1|PARK7","SUMOylation of transcription cofactors","37","ENR","SUMOYLATION OF TRANSCRIPTION COFACTORS%REACTOME DATABASE ID RELEASE 75%3899300","1.0","0.01","SUMOYLATION OF TRANSCRIPTION COFACTORS%REACTOME DATABASE ID RELEASE 75%3899300","false","SUMOYLATION OF TRANSCRIPTION COFACTORS%REACTOME DATABASE ID RELEASE 75%3899300"
"0.99",,"1.0","EMBRYONIC HEART 
TUBE 
MORPHOGENESIS%GOBP%GO:0003143 ",,"ACVR1|SETDB2|MEF2C|ENG|NPHP3|MEGF8|TBX21|NOTCH1|STIL|BBS4|AHI1|EOMES|PKD2|MKKS|RYR2|CCDC39|SRF|TGFBR2|MICAL2|BBS7|BBS5","embryonic heart tube morphogenesis","21","ENR","EMBRYONIC HEART TUBE MORPHOGENESIS%GOBP%GO:0003143","1.0","0.01","EMBRYONIC HEART TUBE MORPHOGENESIS%GOBP%GO:0003143","false","EMBRYONIC HEART TUBE MORPHOGENESIS%GOBP%GO:0003143"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
PURINE 
NUCLEOTIDE 
BIOSYNTHETIC 
PROCESS%GOBP%GO:1900373 ",,"SLC4A4|VCP|PFKFB3|ZBTB20|APP|ENO1|HIF1A|P2RX7|TMSB4X|PPARA|PINK1|ARNT|INSR|PID1|PRKAA1|PSEN1|GAPDHS|ENTPD5|PFKFB2|PFKFB4","positive regulation of purine nucleotide biosynthetic process","20","ENR","POSITIVE REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900373","1.0","0.01","POSITIVE REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900373","false","POSITIVE REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900373"
"0.99",,"1.0","CELLULAR 
RESPONSE TO 
GLUCOSE 
STARVATION%GOBP%GO:0042149 ",,"PIK3R4|SESN3|PIK3C3|CPEB4|SH3GLB1|BRSK2|SIK2|HNRNPA1|PRKAG1|IFI16|PRKAG2|PRKAA1|MYBBP1A|TP53|XBP1|ZC3H12A|NUAK1|TBL2|NUAK2|C12ORF66|ATF4|ITFG2|ATG14|IMPACT|SESN1|PICK1|HSPA5|MTMR3|EIF2AK3|ASNS|FOXO3|BECN1|SIK1|PMAIP1|RRP8|SESN2","cellular response to glucose starvation","36","ENR","CELLULAR RESPONSE TO GLUCOSE STARVATION%GOBP%GO:0042149","1.0","0.01","CELLULAR RESPONSE TO GLUCOSE STARVATION%GOBP%GO:0042149","false","CELLULAR RESPONSE TO GLUCOSE STARVATION%GOBP%GO:0042149"
"0.99",,"1.0","DISEASES OF 
MITOTIC CELL 
CYCLE%REACTOME%R-HSA-9675126.2 ",,"CDKN1B|CDK2|ANAPC15|ANAPC7|ANAPC16|CCND3|UBE2E1|CCND2|ANAPC11|CDK6|UBE2S|E2F2|CDC26|CDC16|ANAPC4|FZR1|E2F3|TFDP1|UBE2D1|TFDP2|CDC23|CDKN1A|CDC27|ANAPC5|ANAPC1|DAXX|ANAPC2|ANAPC10|CDKN1C|CCNE2|ATRX|CDK4|RB1|SKP2","Diseases of mitotic cell cycle","34","ENR","DISEASES OF MITOTIC CELL CYCLE%REACTOME%R-HSA-9675126.2","1.0","0.01","DISEASES OF MITOTIC CELL CYCLE%REACTOME%R-HSA-9675126.2","false","DISEASES OF MITOTIC CELL CYCLE%REACTOME%R-HSA-9675126.2"
"0.99",,"1.0","MITOTIC G2/M 
TRANSITION 
CHECKPOINT%GOBP%GO:0044818 ",,"HMGA2|TAOK2|ATM|NAE1|INTS3|TAOK3|RAD17|TRIM39|HUS1|BLM|CDK5RAP3|TOPBP1|CDKN1A|NABP2|FOXN3|NBN|TAOK1|ZNF830|DONSON","mitotic G2/M transition checkpoint","19","ENR","MITOTIC G2/M TRANSITION CHECKPOINT%GOBP%GO:0044818","1.0","0.01","MITOTIC G2/M TRANSITION CHECKPOINT%GOBP%GO:0044818","false","MITOTIC G2/M TRANSITION CHECKPOINT%GOBP%GO:0044818"
