"EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"GSEAresults","ZC3H12A|YTHDF1|YTHDF2|YTHDF3|MOV10|ROCK1|DND1|ZFP36L2|ZFP36L1|GIGYF2|ROCK2|METTL3|CELF1|ZFP36|TARDBP|DHX36|UPF1|FTO|METTL16|CPEB3|KHSRP|METTL14|ZC3H12D|RC3H1|PUM1","25","0.7976190476190477","Geneset_Overlap","POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014 (Geneset_Overlap_GSEAresults) MRNA DESTABILIZATION%GOBP%GO:0061157","false","Geneset_Overlap","POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014 (Geneset_Overlap_GSEAresults) MRNA DESTABILIZATION%GOBP%GO:0061157"
"GSEAresults","RCAN1|PPP3R1|FKBP1A|NFATC3|AKAP5|CHP1|NFATC2|NFATC1|CABIN1|PPP3CA","10","0.4005006257822278","Geneset_Overlap","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY (Geneset_Overlap_GSEAresults) PID_NFAT_3PATHWAY%MSIGDB_C2%PID_NFAT_3PATHWAY","false","Geneset_Overlap","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY (Geneset_Overlap_GSEAresults) PID_NFAT_3PATHWAY%MSIGDB_C2%PID_NFAT_3PATHWAY"
"GSEAresults","ITK|FGFR1|ERBB2|DYRK1A|JAK3|ABL2|FLT4|LYN|FGR|EPHB2|ABI2|PDGFB|INSR|PIBF1|BMX|PTPN6|SYK|HCK|TEC|DDR2|PTK2B|JAK2|MAPK3|BLK|CSF1R|PTK2|FLT1|EPHA4|FLT3|ZAP70|FER|SRC|AATK|FGFR2|LCK|FYN|IL15|ABL1|KIT|TEK|IGF1R|FES|ABI1|PDGFRB|ABI3|PRLR|EPHA1|TXK|BTK","49","0.9711538461538461","Geneset_Overlap","PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212 (Geneset_Overlap_GSEAresults) PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108","false","Geneset_Overlap","PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212 (Geneset_Overlap_GSEAresults) PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108"
"GSEAresults","HBG2|HBG1|GPX1|MPO|HBM|HBZ|HBD|CAT|PRDX2|HBQ1|PRDX5|PRDX1|HBB|HBA2|PRDX3|PXDNL|GPX3","17","0.8863636363636364","Geneset_Overlap","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743 (Geneset_Overlap_GSEAresults) HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744","false","Geneset_Overlap","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743 (Geneset_Overlap_GSEAresults) HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744"
"GSEAresults","HBG2|HBG1|GPX1|MPO|HBM|HBZ|HBD|CAT|PRDX2|HBQ1|PRDX5|PRDX1|HBB|HBA2|PRDX3|PXDNL|GPX3","17","0.6292207792207792","Geneset_Overlap","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743 (Geneset_Overlap_GSEAresults) ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001","false","Geneset_Overlap","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743 (Geneset_Overlap_GSEAresults) ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001"
"GSEAresults","PRDX2|HBQ1|PRDX5|PRDX1|HBB|HBA2|HBG2|HBG1|GPX1|MPO|PRDX3|HBM|HBZ|PXDNL|HBD|GPX3|CAT","17","0.7833333333333333","Geneset_Overlap","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744 (Geneset_Overlap_GSEAresults) ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001","false","Geneset_Overlap","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744 (Geneset_Overlap_GSEAresults) ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001"
"GSEAresults","KAT2B|MAPK14|HDAC3|CCNH|HDAC1|CDK7|MNAT1|NCOR2|PRKCA|RXRB|MAPK8|CREBBP|RXRA|MAPK1|MAPK3|EP300|NCOA1|RARA|RARB","19","0.8653846153846154","Geneset_Overlap","RETINOIC ACID RECEPTORS-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RETINOIC ACID RECEPTORS-MEDIATED SIGNALING (Geneset_Overlap_GSEAresults) PID_RETINOIC_ACID_PATHWAY%MSIGDB_C2%PID_RETINOIC_ACID_PATHWAY","false","Geneset_Overlap","RETINOIC ACID RECEPTORS-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RETINOIC ACID RECEPTORS-MEDIATED SIGNALING (Geneset_Overlap_GSEAresults) PID_RETINOIC_ACID_PATHWAY%MSIGDB_C2%PID_RETINOIC_ACID_PATHWAY"
"GSEAresults","GAB2|ZMYM2|STAT5A|STAT5B|PIK3R1|MYO18A|NRAS|PIK3CA|SOS1|HRAS","10","0.47916666666666663","Geneset_Overlap","SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465 (Geneset_Overlap_GSEAresults) SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2","false","Geneset_Overlap","SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465 (Geneset_Overlap_GSEAresults) SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2"
"GSEAresults","GAB2|ZMYM2|STAT5A|STAT5B|PIK3R1|MYO18A|PIK3CA","7","0.37916666666666665","Geneset_Overlap","SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117 (Geneset_Overlap_GSEAresults) SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465","false","Geneset_Overlap","SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117 (Geneset_Overlap_GSEAresults) SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465"
"GSEAresults","STAT3|LRRFIP1|STAT1|GAB2|ZMYM2|STAT5A|FGFR1OP2|STAT5B|PIK3R1|BCR|TRIM24|MYO18A|CUX1|CPSF6|PIK3CA","15","0.8125","Geneset_Overlap","SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117 (Geneset_Overlap_GSEAresults) SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2","false","Geneset_Overlap","SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117 (Geneset_Overlap_GSEAresults) SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2"
"GSEAresults","STAT3|ZMYM2|GAB2|FGFR1OP2|STAT5A|TRIM24|STAT5B|BCR|MYO18A|CUX1|CPSF6|LRRFIP1|STAT1|PIK3R1|PIK3CA","15","0.9166666666666667","Geneset_Overlap","FGFR1 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839124.2 (Geneset_Overlap_GSEAresults) SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117","false","Geneset_Overlap","FGFR1 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839124.2 (Geneset_Overlap_GSEAresults) SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117"
"GSEAresults","STAT3|FGFR1|ERLIN2|ZMYM2|GAB2|FGFR1OP2|STAT5A|TRIM24|STAT5B|BCR|MYO18A|CUX1|CPSF6|LRRFIP1|STAT1|BAG4|PIK3R1|PIK3CA","18","0.875","Geneset_Overlap","FGFR1 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839124.2 (Geneset_Overlap_GSEAresults) SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2","false","Geneset_Overlap","FGFR1 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839124.2 (Geneset_Overlap_GSEAresults) SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2"
"GSEAresults","CBL|FGFR1|STAT5B|STAT1|PDPK1|SHC1|SRC|PIK3CA|JUN|RPS6KA1|PAK4|NCAM1|SSH1|FGFR2|FOS|PTPN11|FRS2|CDH2|SDC2|GRB2|SOS1|MAPK1|MAPK3|CTNND1|MMP9|PIK3R1|PLAUR|RUNX2","28","0.8666666666666667","Geneset_Overlap","FGF SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FGF SIGNALING PATHWAY (Geneset_Overlap_GSEAresults) PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY","false","Geneset_Overlap","FGF SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FGF SIGNALING PATHWAY (Geneset_Overlap_GSEAresults) PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY"
"GSEAresults","P2RX4|MTPN|CAMK2D|RGS2|SMAD4|SLC9A1|PDE9A|ROCK1|GLRX3|AKAP6|NOTCH1|LMNA|IL6ST|GSK3A|MEF2A|PARP1|ROCK2|PRKCA|FOXO1|ATP2B4","20","0.9166666666666667","Geneset_Overlap","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010611","false","Geneset_Overlap","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010611"
"GSEAresults","P2RX4|MTPN|CAMK2D|RGS2|SMAD4|SLC9A1|PDE9A|ROCK1|GLRX3|AKAP6|NOTCH1|LMNA|IL6ST|GSK3A|MEF2A|PARP1|ROCK2|PRKCA|FOXO1|ATP2B4","20","0.9166666666666667","Geneset_Overlap","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502 (Geneset_Overlap_GSEAresults) REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743","false","Geneset_Overlap","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502 (Geneset_Overlap_GSEAresults) REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743"
"GSEAresults","P2RX4|MTPN|CAMK2D|RGS2|SMAD4|SLC9A1|PDE9A|ROCK1|GLRX3|AKAP6|NOTCH1|LMNA|IL6ST|GSK3A|MEF2A|PARP1|ROCK2|PRKCA|FOXO1|ATP2B4","20","1.0","Geneset_Overlap","REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010611","false","Geneset_Overlap","REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010611"
"GSEAresults","ITPR1|ITPR2|RYR2|ITPR3|PRKACA|RANGRF|DMPK|ATP2A3|ATP2A2|AHCYL1|RYR1|RYR3|ASPH|ATP2B4|TRPC1|FXYD6|CAMK2D|NPR2|ATP2B1|FKBP1B|ATP1B3|CORIN|SRI|SLC8A1|ABCC9|CALM1|ATP1B1|ATP1A1|STIM1","29","0.6258547008547009","Geneset_Overlap","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779 (Geneset_Overlap_GSEAresults) CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2","false","Geneset_Overlap","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779 (Geneset_Overlap_GSEAresults) CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2"
"GSEAresults","TRPC1|ATP2A3|ATP2A2|AHCYL1|SLC8A1|STIM1|CAMK2D|ITPR1|ITPR2|ITPR3|SRI|DMPK|ATP2B4|ATP2B1|RYR1|CALM1|RYR2|RYR3|PRKACA|ASPH|ABCC9|ATP1B3|ATP1B1|FKBP1B|ATP1A1|FXYD6","26","0.7364280094413848","Geneset_Overlap","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779","false","Geneset_Overlap","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779"
"GSEAresults","TRPC1|ATP2A3|ATP2A2|AHCYL1|SLC8A1|STIM1|ORAI2|ORAI1|CAMK2D|ITPR1|ITPR2|ITPR3|SRI|DMPK|ATP2B4|ATP2B1|RYR1|CALM1|RYR2|CAMK2G|RYR3|CLIC2|PRKACA|ASPH|ABCC9|PLN|ATP1B3|ATP1B1|FKBP1B|ATP1A1|FXYD6","31","0.7672413793103448","Geneset_Overlap","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2 (Geneset_Overlap_GSEAresults) CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2","false","Geneset_Overlap","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2 (Geneset_Overlap_GSEAresults) CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2"
"GSEAresults","ATP2A3|ATP2A2|SLC8A1|STIM1|ORAI2|ORAI1|ITPR1|ITPR2|ITPR3|SRI|ATP2B4|ATP2B1|CALM1","13","0.5416666666666666","Geneset_Overlap","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2 (Geneset_Overlap_GSEAresults) PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360","false","Geneset_Overlap","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2 (Geneset_Overlap_GSEAresults) PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360"
"GSEAresults","ITPR1|ITPR2|ITPR3|SRI|ATP2B4|ATP2B1|CALM1|ATP2A3|ATP2A2|SLC8A1|STIM1|ORAI2|ORAI1","13","0.4642857142857143","Geneset_Overlap","PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360 (Geneset_Overlap_GSEAresults) CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2","false","Geneset_Overlap","PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360 (Geneset_Overlap_GSEAresults) CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2"
"GSEAresults","ITPR1|ITPR2|ITPR3|SRI|ATP2B4|ATP2B1|CALM1|ATP2A3|ATP2A2|SLC8A1|STIM1","11","0.43346253229974163","Geneset_Overlap","PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779","false","Geneset_Overlap","PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360 (Geneset_Overlap_GSEAresults) REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779"
"GSEAresults","MAPK1|YES1|NCK1|PIK3R1|SRC|RAC1|ELMO1|MAP2K1|FYN|PIK3CA|DOCK1|WASL|PAK1","13","0.41608118657298987","Geneset_Overlap","PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY (Geneset_Overlap_GSEAresults) SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE","false","Geneset_Overlap","PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY (Geneset_Overlap_GSEAresults) SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE"
"GSEAresults","MAPK1|YES1|NCK1|PIK3R1|SRC|RAC1|ELMO1|MAP2K1|FYN|PIK3CA|DOCK1|WASL|PAK1","13","0.4369747899159664","Geneset_Overlap","PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY (Geneset_Overlap_GSEAresults) PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY","false","Geneset_Overlap","PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY (Geneset_Overlap_GSEAresults) PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY"
"GSEAresults","TLN1|PIK3CA|BRAF|NCK2|JUN|GIT2|MAPK9|RRAS|ACTN1|ROCK2|MAPK8|ITGB5|PAK1|MAPK1|ITGAV|RAC1|RAPGEF1|MAP2K4|WASL|FYN|YES1|ITGB1|ELMO1|DOCK1|SRC|PXN|ARHGAP35|RAP1A|NCK1|MAP2K1|RAF1|GRB2|SOS1|CRK|SH3GL1|ARHGEF11|ARHGEF28|ASAP1|ARHGAP26|BMX|KLF8|MAPK8IP3|PIK3R1","43","0.9056603773584906","Geneset_Overlap","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE (Geneset_Overlap_GSEAresults) PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY","false","Geneset_Overlap","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE (Geneset_Overlap_GSEAresults) PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY"
"GSEAresults","AGAP2|MAPK3|SRC|PIK3CA|MAPK1|RAC1|NTN1|FYN|MAP2K1|MAP2K2","10","0.38095238095238093","Geneset_Overlap","NETRIN-UNC5B SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4747%HOMO SAPIENS (Geneset_Overlap_GSEAresults) PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY","false","Geneset_Overlap","NETRIN-UNC5B SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4747%HOMO SAPIENS (Geneset_Overlap_GSEAresults) PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY"
