NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME DATABASE ID RELEASE 75%8936459	RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME DATABASE ID RELEASE 75%8936459		35	-0.69880325	-1.5666405	0	0.024280861	0.853	1076	"tags=40%, list=8%, signal=44%"
IL6%NETPATH%IL6	IL6%NETPATH%IL6		65	-0.6766575	-1.5629578	0	0.025974205	0.875	2639	"tags=55%, list=21%, signal=70%"
PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY	PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY		46	-0.68194413	-1.5590173	0	0.02794631	0.895	2300	"tags=54%, list=18%, signal=66%"
ERBB SIGNALING PATHWAY%GOBP%GO:0038127	ERBB SIGNALING PATHWAY%GOBP%GO:0038127		41	-0.6892585	-1.5565263	0	0.029123936	0.908	2720	"tags=61%, list=21%, signal=77%"
BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY	BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY		20	-0.7244588	-1.555869	0.00203666	0.029174697	0.911	2018	"tags=55%, list=16%, signal=65%"
CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007	CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007		21	-0.73531514	-1.55479	0	0.02952231	0.913	2180	"tags=57%, list=17%, signal=69%"
BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY	BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY		19	-0.7361424	-1.5527412	0	0.030379325	0.923	2444	"tags=58%, list=19%, signal=72%"
BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY	BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY		19	-0.72271526	-1.5516628	0.002051282	0.030750632	0.926	2552	"tags=58%, list=20%, signal=72%"
PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY	PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY		43	-0.6824215	-1.5479255	0	0.03269971	0.946	2941	"tags=63%, list=23%, signal=81%"
SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE	SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE		32	-0.697771	-1.5472965	0	0.032876283	0.95	2577	"tags=56%, list=20%, signal=70%"
BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY		24	-0.7104388	-1.5458678	0.001014199	0.033486933	0.956	2788	"tags=67%, list=22%, signal=85%"
SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE	SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE		53	-0.66667384	-1.5447977	0	0.033672698	0.956	2941	"tags=62%, list=23%, signal=81%"
TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2	TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2		38	-0.6813108	-1.543921	0	0.03401906	0.956	2082	"tags=50%, list=16%, signal=60%"
REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097	REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097		45	-0.67465866	-1.5382441	0	0.03813646	0.968	1979	"tags=38%, list=16%, signal=45%"
POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747	POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747		27	-0.70571625	-1.5379896	0	0.037878543	0.968	1091	"tags=41%, list=9%, signal=44%"
PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY	PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY		18	-0.7235772	-1.5376174	0.002042901	0.037743118	0.968	596	"tags=28%, list=5%, signal=29%"
N-GLYCAN PROCESSING%GOBP%GO:0006491	N-GLYCAN PROCESSING%GOBP%GO:0006491		16	-0.73536044	-1.5371274	0.003067485	0.037673477	0.971	2310	"tags=63%, list=18%, signal=76%"
PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY	PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY		19	-0.71697545	-1.530938	0.00101833	0.04255426	0.982	2387	"tags=63%, list=19%, signal=78%"
GENE SILENCING BY RNA%GOBP%GO:0031047	GENE SILENCING BY RNA%GOBP%GO:0031047		49	-0.67134106	-1.5304897	0	0.04246639	0.982	2695	"tags=55%, list=21%, signal=70%"
PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS	PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS		15	-0.73855025	-1.5303634	0.003099174	0.042136017	0.982	2387	"tags=60%, list=19%, signal=74%"
REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502	REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502		24	-0.704805	-1.5263644	0.004020101	0.045147564	0.986	1227	"tags=50%, list=10%, signal=55%"
PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY	PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY		27	-0.68531466	-1.5263443	0	0.044716787	0.986	2552	"tags=59%, list=20%, signal=74%"
PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY	PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY		24	-0.69829375	-1.5261652	0.002024292	0.044452593	0.986	2848	"tags=67%, list=22%, signal=86%"
PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY	PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY		27	-0.6921241	-1.5258434	0	0.044164516	0.986	2043	"tags=52%, list=16%, signal=62%"
RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082	RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082		18	-0.71831495	-1.5251663	0.00408998	0.044327267	0.986	2546	"tags=72%, list=20%, signal=90%"
PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY	PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY		29	-0.6822443	-1.5247467	0.001	0.044189744	0.989	3324	"tags=69%, list=26%, signal=93%"
POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148	POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148		21	-0.7043416	-1.5245398	0.001010101	0.04391261	0.989	3221	"tags=81%, list=25%, signal=108%"
NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026	NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026		15	-0.7400428	-1.5236925	0.004119465	0.044298667	0.991	1786	"tags=53%, list=14%, signal=62%"
EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007173	EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007173		28	-0.6885866	-1.5187697	0.001008065	0.048512217	0.996	2720	"tags=64%, list=21%, signal=82%"
RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS	RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS		28	-0.6893025	-1.5179751	0.001005025	0.048819732	0.996	1812	"tags=50%, list=14%, signal=58%"
VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS	VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS		17	-0.72816455	-1.517867	0.002055499	0.04850043	0.996	2444	"tags=65%, list=19%, signal=80%"
HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3	HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3		21	-0.7079313	-1.5178608	0.002016129	0.0480604	0.996	2703	"tags=76%, list=21%, signal=97%"
HISTONE DEMETHYLATION%GOBP%GO:0016577	HISTONE DEMETHYLATION%GOBP%GO:0016577		21	-0.6996103	-1.5175242	0.001014199	0.047861647	0.996	3114	"tags=76%, list=24%, signal=101%"
PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105	PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105		132	-0.6337478	-1.5166119	0	0.048377164	0.997	2431	"tags=48%, list=19%, signal=59%"
LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2034%HOMO SAPIENS	LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2034%HOMO SAPIENS		65	-0.6511294	-1.5154468	0	0.049226765	0.997	2552	"tags=48%, list=20%, signal=59%"
POSITIVE REGULATION OF GENE SILENCING BY MIRNA%GOBP%GO:2000637	POSITIVE REGULATION OF GENE SILENCING BY MIRNA%GOBP%GO:2000637		20	-0.7025333	-1.5140938	0.004077472	0.05010499	0.999	3221	"tags=80%, list=25%, signal=107%"
REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS	REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS		27	-0.6844057	-1.513957	0.002006018	0.049843293	0.999	1845	"tags=48%, list=15%, signal=56%"
BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY	BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY		15	-0.7206168	-1.513482	0.005159959	0.049851898	1	2387	"tags=47%, list=19%, signal=57%"
REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114	REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114		17	-0.7159337	-1.5134732	0.003070624	0.04944389	1	1786	"tags=47%, list=14%, signal=55%"
IL-2 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP49%HOMO SAPIENS	IL-2 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP49%HOMO SAPIENS		37	-0.66328335	-1.5123373	0	0.05004555	1	2552	"tags=54%, list=20%, signal=67%"
MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0006509	MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0006509		19	-0.70752	-1.5112681	0.00408998	0.050478164	1	2637	"tags=68%, list=21%, signal=86%"
DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME%R-HSA-186763.2	DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME%R-HSA-186763.2		23	-0.6991229	-1.5109352	0.002018163	0.050389994	1	2300	"tags=52%, list=18%, signal=64%"
HEART VALVE MORPHOGENESIS%GOBP%GO:0003179	HEART VALVE MORPHOGENESIS%GOBP%GO:0003179		21	-0.6956464	-1.5098174	0.00203252	0.05103444	1	2788	"tags=62%, list=22%, signal=79%"
POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0016441	POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0016441		46	-0.6635631	-1.5071396	0	0.053272408	1	2695	"tags=54%, list=21%, signal=69%"
VITAMIN D-SENSITIVE CALCIUM SIGNALING IN DEPRESSION%WIKIPATHWAYS_20210210%WP4698%HOMO SAPIENS	VITAMIN D-SENSITIVE CALCIUM SIGNALING IN DEPRESSION%WIKIPATHWAYS_20210210%WP4698%HOMO SAPIENS		17	-0.70951843	-1.5067354	0.002040816	0.053284325	1	3114	"tags=65%, list=24%, signal=86%"
CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051	CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051		29	-0.68078583	-1.5053914	0.003024194	0.054097198	1	2180	"tags=48%, list=17%, signal=58%"
CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2	CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2		58	-0.654348	-1.5050389	0	0.054078706	1	2199	"tags=38%, list=17%, signal=46%"
PROTEIN DEALKYLATION%GOBP%GO:0008214	PROTEIN DEALKYLATION%GOBP%GO:0008214		25	-0.6885097	-1.5048037	0	0.053910546	1	2703	"tags=64%, list=21%, signal=81%"
NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-2122947.3	NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-2122947.3		41	-0.6648441	-1.5039867	0	0.054276727	1	1024	"tags=37%, list=8%, signal=40%"
NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING%GOBP%GO:0000289	NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING%GOBP%GO:0000289		16	-0.7069625	-1.5029292	0.003073771	0.05480011	1	2129	"tags=63%, list=17%, signal=75%"
CREB1 PHOSPHORYLATION THROUGH NMDA RECEPTOR-MEDIATED ACTIVATION OF RAS SIGNALING%REACTOME DATABASE ID RELEASE 75%442742	CREB1 PHOSPHORYLATION THROUGH NMDA RECEPTOR-MEDIATED ACTIVATION OF RAS SIGNALING%REACTOME DATABASE ID RELEASE 75%442742		18	-0.71300316	-1.5018792	0.001030928	0.05546898	1	2082	"tags=44%, list=16%, signal=53%"
PHOSPHATIDYLSERINE METABOLIC PROCESS%GOBP%GO:0006658	PHOSPHATIDYLSERINE METABOLIC PROCESS%GOBP%GO:0006658		21	-0.6946181	-1.501667	0.003039514	0.055333313	1	2182	"tags=43%, list=17%, signal=52%"
REGULATION OF GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOBP%GO:1900449	REGULATION OF GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOBP%GO:1900449		24	-0.68870074	-1.501342	0.002028398	0.05519223	1	1242	"tags=38%, list=10%, signal=41%"
NEGATIVE REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY%GOBP%GO:0120033	NEGATIVE REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY%GOBP%GO:0120033		20	-0.6970581	-1.501164	0.004085802	0.054933097	1	2060	"tags=40%, list=16%, signal=48%"
SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465	SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465		16	-0.718929	-1.5008062	0.00513347	0.054812193	1	2197	"tags=63%, list=17%, signal=75%"
MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20210210%WP3981%HOMO SAPIENS	MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20210210%WP3981%HOMO SAPIENS		26	-0.68762267	-1.4999936	0	0.055196654	1	2552	"tags=54%, list=20%, signal=67%"
EPO SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPO SIGNALING PATHWAY	EPO SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPO SIGNALING PATHWAY		32	-0.6708382	-1.4994217	0.001005025	0.055354804	1	2552	"tags=59%, list=20%, signal=74%"
SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2	SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2		59	-0.64994985	-1.4991977	0	0.05519705	1	2300	"tags=51%, list=18%, signal=62%"
NETRIN-UNC5B SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4747%HOMO SAPIENS	NETRIN-UNC5B SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4747%HOMO SAPIENS		24	-0.6878573	-1.4972991	0.001007049	0.05670648	1	2300	"tags=50%, list=18%, signal=61%"
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY		28	-0.6723541	-1.4953713	0.003018109	0.058330417	1	2882	"tags=64%, list=23%, signal=83%"
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098	POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098		25	-0.6890339	-1.4951655	0.003021148	0.058104504	1	1979	"tags=40%, list=16%, signal=47%"
GENE SILENCING%GOBP%GO:0016458	GENE SILENCING%GOBP%GO:0016458		80	-0.6368705	-1.494847	0	0.058002185	1	2695	"tags=48%, list=21%, signal=60%"
PROTEIN DEMETHYLATION%GOBP%GO:0006482	PROTEIN DEMETHYLATION%GOBP%GO:0006482		25	-0.6885097	-1.4947551	0.001014199	0.057662264	1	2703	"tags=64%, list=21%, signal=81%"
NEGATIVE REGULATION OF PROTEIN DEPOLYMERIZATION%GOBP%GO:1901880	NEGATIVE REGULATION OF PROTEIN DEPOLYMERIZATION%GOBP%GO:1901880		33	-0.67354876	-1.4944733	0.001005025	0.057459816	1	2028	"tags=42%, list=16%, signal=50%"
ERBB4 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB4 SIGNALING EVENTS	ERBB4 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB4 SIGNALING EVENTS		25	-0.68569124	-1.493676	0	0.05795345	1	1785	"tags=56%, list=14%, signal=65%"
NOTCH-MEDIATED HES HEY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH-MEDIATED HES HEY NETWORK	NOTCH-MEDIATED HES HEY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH-MEDIATED HES HEY NETWORK		31	-0.6745861	-1.4917542	0	0.059699588	1	2043	"tags=52%, list=16%, signal=61%"
SIGNALING BY PDGFR IN DISEASE%REACTOME DATABASE ID RELEASE 75%9671555	SIGNALING BY PDGFR IN DISEASE%REACTOME DATABASE ID RELEASE 75%9671555		16	-0.7161517	-1.4915869	0.006198347	0.059480347	1	3076	"tags=69%, list=24%, signal=91%"
