"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"2","-1.0","-0.7238","0.0041","PRE-NOTCH 
EXPRESSION AND 
PROCESSING%REACTOME%R-HSA-1912422.1 ","0.214","KAT2A|CREBBP|MAML2|MAML1|LFNG|ST3GAL6|B4GALT1|MAMLD1|RBPJ|FURIN|MAML3|RAB6A|PRKCI|NOTCH1|ATP2A3|ATP2A2|SNW1|RFNG|POGLUT1|POFUT1|EP300|MFNG|KAT2B|ST3GAL4|ST3GAL3|TMED2|NOTCH2|E2F3|TFDP1|TFDP2|SIRT6|JUN|RUNX1|TP53|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|SEL1L|MOV10","Pre-NOTCH Expression and Processing","43","ENR","PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1","-1.6502","0.0","PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1","false","PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1"
,"-0.998","-0.6844","0.0498","REGULATION OF 
MICROTUBULE 
CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO 
SAPIENS ","0.999","TRIO|SPRED1|ROCK1|SRC|EPHB2|LIMK1|TIAM1|PTPRA|DVL1|MAPRE1|GNAQ|PHLDB2|F2RL2|PTEN|PRKCA|CDC42|PIK3CA|APC|STAT3|PAK1|MAPKAPK2|TAOK1|CLASP1|GSK3B|CAMK4|CFL2|RAC1","Regulation of Microtubule Cytoskeleton","27","ENR","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS","-1.514","0.002","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS","false","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS"
"7","-1.0","-0.6978","0.0329","SIGNALING EVENTS 
REGULATED BY RET 
TYROSINE 
KINASE%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS REGULATED 
BY RET TYROSINE 
KINASE ","0.95","MAPK8|GRB2|SOS1|SRC|HRAS|FRS2|DOK1|PXN|PTPN11|PRKCA|CRK|PIK3CA|SHC1|IRS1|PIK3R1|JUN|MAPK1|IRS2|RASA1|RHOA|MAPK3|GAB1|NCK1|CREB1|PTK2|PRKACA|PDLIM7|DOK4|DOK6|GRB10|RAP1A|RAC1","Signaling events regulated by Ret tyrosine kinase","32","ENR","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE","-1.5473","0.0","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE","false","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE"
,"-0.999","-0.6893","0.0488","RETT SYNDROME 
CAUSING 
GENES%WIKIPATHWAYS_20210210%WP4312%HOMO 
SAPIENS ","0.996","KDM5B|TRRAP|MEF2C|STXBP1|CHD4|RHOBTB2|SYNGAP1|SMC1A|TAF1B|HIVEP2|BRAF|CDKL5|GNAO1|CRK|XAB2|NCOR1|SCN8A|TCF4|EIF2B2|HDAC8|HDAC5|TBL1XR1|HDAC1|NCOR2|HTT|TBL1X|SMARCA4|GPS2","Rett syndrome causing genes","28","ENR","RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS","-1.518","0.001","RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS","false","RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS"
"12","-0.999","-0.7657","0.0069","REGULATION OF 
RUNX1 EXPRESSION 
AND 
ACTIVITY%REACTOME 
DATABASE ID 
RELEASE 
75%8934593 ","0.366","AGO2|TNRC6A|CBFB|TNRC6B|SRC|CCND3|CCND2|CDK6|PTPN11|PML|MOV10|RUNX1|TNRC6C|AGO3|AGO4|AGO1","Regulation of RUNX1 Expression and Activity","16","ENR","REGULATION OF RUNX1 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 75%8934593","-1.6253","0.001","REGULATION OF RUNX1 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 75%8934593","false","REGULATION OF RUNX1 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 75%8934593"
"10","-1.0","-0.6813","0.034","TRANSCRIPTIONAL 
REGULATION BY 
MECP2%REACTOME%R-HSA-8986944.2 ","0.956","MEF2C|SGK1|PTEN|NCOR1|IRAK1|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|LBR|PTPN1|CAMK2D|PTPN4|HDAC2|TBL1XR1|FKBP5|RBFOX1|HDAC1|SLC2A3|HIPK2|OPRM1|NCOR2|CREB1|BDNF|CALM1|DGCR8|CAMK2G|PRKACA|HTT|CAMK4|HDAC3|TBL1X|SIN3A|GPS2|MOV10","Transcriptional Regulation by MECP2","38","ENR","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2","-1.5439","0.0","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2","false","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2"
"1","-0.9979","-0.7227","0.0308","BIOCARTA_
BIOPEPTIDES_
PATHWAY%MSIGDB_
C2%BIOCARTA_
BIOPEPTIDES_
PATHWAY","0.926","MAPK8|GRB2|SOS1|MAP2K1|HRAS|CALM2|PRKCB|RAF1|PRKCA|STAT1|MAP2K2|SHC1|STAT3|MAPK1|PTK2B|MAPK14|FYN|CDK5|MAPK3","BIOCARTA_BIOPEPTIDES_PATHWAY","19","ENR","BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY","-1.5517","0.0021","BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY","false","BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY"
"13","-0.999","-0.7104","0.0335","BIOCARTA_NFAT_
PATHWAY%MSIGDB_
C2%BIOCARTA_NFAT_
PATHWAY","0.956","GSK3B|MAPK8|MAP2K1|HRAS|CREBBP|RPS6KB1|MEF2C|CALM2|PRKAR1B|PPP3CA|PRKAR1A|PPP3CC|RAF1|CAMK4|PIK3CA|NFATC3|NFATC1|NFATC2|PIK3R1|MAPK1|MAPK14|CAMK1|MAPK3|CSNK1A1","BIOCARTA_NFAT_PATHWAY","24","ENR","BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY","-1.5459","0.001","BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY","false","BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY"
"2","-0.999","-0.7531","0.0041","NOTCH-HLH 
TRANSCRIPTION 
PATHWAY%REACTOME%R-HSA-350054.3 ","0.216","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|NCOR1|KAT2B|HDAC11|NOTCH2|HDAC10|HDAC8|HDAC5|HDAC4|HDAC9|HDAC6|HDAC7|HDAC2|TBL1XR1|HDAC1|NCOR2|HDAC3|TBL1X","Notch-HLH transcription pathway","26","ENR","NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3","-1.65","0.001","NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3","false","NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3"
,"-0.998","-0.7236","0.0377","PID_HNF3A_
PATHWAY%MSIGDB_
C2%PID_HNF3A_
PATHWAY","0.968","CDKN1B|CREBBP|BRCA1|CEBPB|EP300|FOS|SERPINA1|AP1B1|PISD|SP1|JUN|NFIA|PRDM15|ATP5J|XBP1|COL18A1|POU2F1|NDUFV3","PID_HNF3A_PATHWAY","18","ENR","PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY","-1.5376","0.002","PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY","false","PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY"
,"-0.9979","-0.7282","0.0485","VITAMIN D IN 
INFLAMMATORY 
DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO 
SAPIENS ","0.996","PPP3CA|PPP3R1|NFKBIA|RXRA|NFATC1|MED14|IKBKB|IKBKG|NR3C1|CHUK|SMAD4|MAP2K3|MAPK14|MAP3K1|RELA|MAP2K6|NFKB1","Vitamin D in inflammatory diseases","17","ENR","VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS","-1.5179","0.0021","VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS","false","VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS"
"1","-1.0","-0.7035","0.0204","SIGNALING BY 
SCF-KIT%REACTOME 
DATABASE ID 
RELEASE 
75%1433557 ","0.794","FES|SOS1|HRAS|PTPN11|PRKCA|PIK3CA|STAT1|STAT3|PIK3R1|FYN|STAT5B|PIK3R2|CBL|VAV1|LYN|PTPN6|SH2B2|KIT|SOCS6|TEC|GAB2|YES1|GRAP|PIK3R3|FER|STAT5A|SH2B3|MMP9|JAK2|LCK|GRB10|GRAP2|RAC1|NRAS","Signaling by SCF-KIT","34","ENR","SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557","-1.5748","0.0","SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557","false","SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557"
"6","1.0","0.8305","0.0","HYDROGEN 
PEROXIDE 
CATABOLIC 
PROCESS%GOBP%GO:0042744 ","0.0","HBM|PXDNL|HBZ|GPX3|CAT|HBG2|PRDX5|HBG1|HBB|HBA2|MPO|HBD|PRDX2|HBQ1|PRDX3|PRDX1|GPX1","hydrogen peroxide catabolic process","17","ENR","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744","3.1279","0.0","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744","false","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744"
"1","-1.0","-0.6767","0.026","IL6%NETPATH%IL6

","0.875","FES|HRAS|PTPN11|ERBB2|MAP2K2|SHC1|EIF4E|STAT3|PIK3R1|MAPK1|PTK2B|FYN|MAPK3|STAT5B|GSK3B|MAP2K1|RPS6KB1|RPS6KA2|HDAC1|CEBPB|BMX|CDK5|CD40|INPPL1|RAC1|SIRPA|MAPK8|GRB2|IL6R|MAP3K7|SOS1|EIF2A|CREBBP|MAP2K4|IL6ST|PXN|SGK1|FOXO4|FOXO1|NLK|SOCS3|NFKBIA|EP300|STAT1|CDK9|BAD|TYK2|JUN|JAK1|PIK3R2|CBL|VAV1|LYN|NCOA1|BTK|FOXO3|INPP5D|TEC|FOS|GAB2|MAPK14|RB1|EIF4EBP1|MAP2K6|NFKB1","IL6","65","ENR","IL6%NETPATH%IL6","-1.563","0.0","IL6%NETPATH%IL6","false","IL6%NETPATH%IL6"
"4","1.0","0.608","0.0118","KILLING OF CELLS 
OF OTHER 
ORGANISM%GOBP%GO:0031640 ","0.036","ROMO1|APOL1|RPS19|DEFA3|PGLYRP1|GAPDH|GNLY|DEFB103B|RPL30|DEFA1B|CAMP|LYZ|S100A12|PF4|LTF|HMGN2","killing of cells of other organism","16","ENR","KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640","2.0721","0.0","KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640","false","KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640"
"14","-1.0","-0.6893","0.0291","ERBB SIGNALING 
PATHWAY%GOBP%GO:0038127 ","0.908","GRB2|SOS1|SRC|PTPN11|BRAF|PRKCA|PIK3CA|ERBB2|SHC1|PIK3R1|PDPK1|MAPK1|PTK2B|CDC37|GAB1|PLCE1|AKT1|TGFB1|PLCG1|PIK3C2A|HSP90AA1|CBL|IQGAP1|ADAM17|REPS2|NCK2|STUB1|CUL5|MVP|PTPN18|PTPN12|PTK2|KIF16B|MATK|RPS6KA5|AAMP|CPNE3|NRG1|TGFA|DGKD|EGF","ERBB signaling pathway","41","ENR","ERBB SIGNALING PATHWAY%GOBP%GO:0038127","-1.5565","0.0","ERBB SIGNALING PATHWAY%GOBP%GO:0038127","false","ERBB SIGNALING PATHWAY%GOBP%GO:0038127"
"11","-1.0","-0.6667","0.0337","SIGNALING EVENTS 
MEDIATED BY FOCAL 
ADHESION 
KINASE%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS MEDIATED 
BY FOCAL ADHESION 
KINASE ","0.956","SRC|RRAS|ITGB5|SH3GL1|RAF1|ARHGAP26|CRK|KLF8|TLN1|PIK3CA|MAPK9|MAPK8IP3|ELMO1|ARHGEF28|ASAP1|ARHGAP35|ARHGEF11|ITGB1|GIT2|PIK3R1|DOCK1|PAK1|MAPK1|FYN|RASA1|RHOA|ARHGEF7|VCL|ETS1|MAP2K1|ITGA5|CAPN2|BMX|ROCK2|RAP1A|RAC1|MAPK8|GRB2|SOS1|MAP2K4|RAP1B|PXN|BRAF|ITGAV|JUN|PLCG1|RAPGEF1|NCK1|ACTN1|NCK2|WASL|PTK2|YES1","Signaling events mediated by focal adhesion kinase","53","ENR","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE","-1.5448","0.0","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE","false","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE"
,"-1.0","-0.7152","0.0102","REGULATION OF 
CARDIAC 
CONDUCTION%GOBP%GO:1903779 ","0.505","ATP2A3|ATP2A2|ITPR1|ITPR2|ITPR3|TMEM65|RANGRF|PDE4D|DMPK|AHCYL1|RYR1|RYR3|ASPH|ATP2B4|TRPC1|FXYD6|FLNA|NPR2|ATP2B1|FKBP1B|ATP1B3|CORIN|CALM3|SRI|CAMK2D|SLC8A1|ABCC9|TNNI3K|CALM2|ATP1B1|ATP1A1|STIM1|CALM1|PRKACA|RYR2|ANK2","regulation of cardiac conduction","36","ENR","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779","-1.6083","0.0","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779","false","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779"
"1","-1.0","-0.6927","0.02","KIT RECEPTOR 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO 
SAPIENS ","0.786","MAPK8|GRB2|SOS1|HRAS|SRC|DOK1|PTPN11|PRKCB|PRKCA|RAF1|BCL2|CRK|EP300|STAT1|MAP2K2|SHC1|STAT3|PIK3R1|BAD|MAPK1|FYN|MAPK3|STAT5B|PIK3R2|MAP2K1|CRKL|CBL|RPS6KB1|RPS6KA3|VAV1|RPS6KA1|LYN|BTK|PTPN6|RPS6|SH2B2|KIT|FOXO3|MATK|INPP5D|SOCS6|TEC|FOS|GAB2|JUNB|MAPK14|GRB10","Kit receptor signaling pathway","47","ENR","KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS","-1.5764","0.0","KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS","false","KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS"
"8","1.0","0.5","0.0071","TYPE I INTERFERON 
SIGNALING 
PATHWAY%GOBP%GO:0060337 ","0.014","STAT2|IRF2|BST2|IRF3|IRF5|IFITM2|IFNAR1|ISG20|ADAR|XAF1|IFI35|SAMHD1|SP100|IP6K2|PSMB8|MX2|IFIT3|STAT1|OASL|IFIT5|IFIT1|IRF4|IFI6|IRF8|IFNAR2|IRAK1|MYD88|TYK2|IRF1|OAS2|OAS3|RNASEL|JAK1|RSAD2|OAS1|IFI27|IRF9|IRF7|GBP2|MX1|ISG15|IFIT2|IFITM3|IFITM1","type I interferon signaling pathway","44","ENR","TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337","2.1633","0.0","TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337","false","TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337"
"7","-1.0","-0.716","0.0186","PID_RET_
PATHWAY%MSIGDB_
C2%PID_RET_
PATHWAY","0.741","MAPK8|GRB2|SOS1|SRC|HRAS|FRS2|DOK1|PXN|PTPN11|PRKCA|CRK|PIK3CA|SHC1|IRS1|PIK3R1|MAPK1|JUN|MAPK3|NCK1|CREB1|PDLIM7|DOK4|DOK6|GRB10|RAP1A|RAC1","PID_RET_PATHWAY","26","ENR","PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY","-1.5826","0.0","PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY","false","PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY"
